"","X","CLOSURE_REASON","TYPE","LATITUDE","LONGITUDE","AGES_0_9_...","AGES_10_19_...","AGES_20_34_...","AGES_35_54_...","AGES_55_64_...","AGES_65_UP_...","SOURCE","NEIGHBORHOOD","ZIPCODE","CASE_OPEN_.Days.","WORK_TRANSPORT_AT_HOME_...","WORK_TRANSPORT_CAR_TRUCK_VAN_...","WORK_TRANSPORT_DROVE_ALONE_...","WORK_TRANSPORT_CARPOOLED_...","WORK_TRANSPORT_BUS_TROLLEY_...","WORK_TRANSPORT_SUBWAY_ELEVATED_...","WORK_TRANSPORT_RAILROAD_...","WORK_TRANSPORT_BICYCLE_...","WORK_TRANSPORT_WALKED_...","WORK_TRANSPORT_OTHER_...","WORK_TRANSPORT_TOTAL_...","HOME_OWNER_...","HOME_RENTER_...","HOME_TOTAL_...","RACE_WHITE_...","RACE_AFRICAN_AMERICAN_...","RACE_HISPANIC_...","RACE_ASIAN_...","RACE_OTHER_...","RACE_TOTAL_...","REGION_MEDIAN_INCOME_(USD)"
"11",11,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3556,-71.139,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"12",12,"Case Closed Case Resolved done","Request for Pothole Repair",42.3556,-71.139,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"13",13,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3556,-71.139,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"14",14,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3535,-71.1376,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"15",15,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3535,-71.1376,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"16",16,"Case Closed Case Resolved done","Request for Pothole Repair",42.339,-71.1465,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2135",3,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"17",17,"Case Closed Case Resolved done","Request for Pothole Repair",42.3398,-71.1469,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2135",3,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"18",18,"Case Closed Case Resolved no pothole at that location","Request for Pothole Repair",42.3515,-71.1185,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",2,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"19",19,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3517,-71.1213,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"20",20,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3517,-71.1213,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"21",21,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3521,-71.1232,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"22",22,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3524,-71.1253,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"23",23,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3524,-71.1253,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"24",24,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.352,-71.1256,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"25",25,"Case Closed Case Resolved at that location roadway patch and made safe by DIST#4 PATCH CREW","Request for Pothole Repair",42.3523,-71.122,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2215",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"26",26,"Case Closed Case Resolved at that location roadway patch by DIST#4 CREW","Request for Pothole Repair",42.3518,-71.1241,763,3384,14451,2322,768,624,"Employee Generated","Allston","2215",5,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"27",27,"Case Closed Case Resolved patched by dist. 4 crew","Request for Pothole Repair",42.3515,-71.1185,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"28",28,"Case Closed Case Resolved has been made safe","Request for Pothole Repair",42.3506,-71.1109,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",2,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"29",29,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3526,-71.1257,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"30",30,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3525,-71.126,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"31",31,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3525,-71.126,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"32",32,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3523,-71.1269,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"33",33,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3526,-71.127,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"34",34,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3526,-71.127,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"35",35,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3524,-71.1287,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"36",36,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3525,-71.1284,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"37",37,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3525,-71.1284,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"38",38,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3501,-71.1309,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"39",39,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3501,-71.1306,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"40",40,"Case Closed Case Referred to External Agency MBTA jurisdiction. Information forwarded to the MBTA.","Request for Pothole Repair",42.3508,-71.1282,763,3384,14451,2322,768,624,"Constituent Call","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"41",41,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.352,-71.1271,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"42",42,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3516,-71.1269,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"43",43,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3513,-71.1274,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"44",44,"Case Closed Case Resolved at that  location roadway patch and made safe by DIST#4 PATCH CREW","Request for Pothole Repair",42.358,-71.1213,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2134",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"45",45,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3541,-71.1366,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"46",46,"Case Closed Case Resolved at that location no pot in roadway at that location","Request for Pothole Repair",42.3638,-71.1344,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"47",47,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3638,-71.1344,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"48",48,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3541,-71.1366,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"49",49,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3473,-71.1349,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"50",50,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3473,-71.1349,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"51",51,"Case Closed Case Resolved PATCHED ALL SET ON ARRIVAL 1/16","Request for Pothole Repair",42.3483,-71.1378,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",141,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"52",52,"Case Closed Case Resolved FOUND THE CB IN THE ATTCHED PICTURE. IT'S A STATE OWNED CB ON A ROAD NEXT TO HOUGHTON CHEMICAL COMPANY. THE CB IS FULL TO THE TOP WITH DIRT & GRAVEL IT'S BEEN PATCHED AROUND  NO VISBILE HOLES  CB LOCATION ABOUT 250' FROM ENTRANCE TO DOUBLE TREE HOTEL ON CAMBRIDGE ST. 1/17","Request for Pothole Repair",42.3609,-71.1177,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",57,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"53",53,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#4 PATCH CREW","Request for Pothole Repair",42.3489,-71.1605,763,3384,14451,2322,768,624,"Constituent Call","Allston","none",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"54",54,"Case Closed Case Resolved at that location roadway patch and made safe by DIST#4 PATCH CREW","Request for Pothole Repair",42.3504,-71.167,763,3384,14451,2322,768,624,"Constituent Call","Allston","2135",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"55",55,"Case Closed Case Resolved at that location roadway patch and made safe by dist#4 patch crew","Request for Pothole Repair",42.3609,-71.1177,763,3384,14451,2322,768,624,"Self Service","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"56",56,"Case Closed Case Resolved at that location roadway patch and made safe by DIST#4 PATCH CREW","Request for Pothole Repair",42.3521,-71.1603,763,3384,14451,2322,768,624,"Citizens Connect App","Allston","none",1,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"57",57,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3567,-71.154,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"58",58,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.3567,-71.154,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"59",59,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.351,-71.145,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"60",60,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.351,-71.145,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"61",61,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#1 PATCH CREW","Request for Pothole Repair",42.351,-71.145,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"62",62,"Case Closed Case Resolved Marked completed at case creation","Request for Pothole Repair",42.351,-71.145,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"63",63,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW BY INSP AJ ALLEN","Request for Pothole Repair",42.351,-71.145,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"64",64,"Case Closed Case Resolved at that location patch by DIST#1 PATCH CREW  INSP AJ ALLEN","Request for Pothole Repair",42.3516,-71.143,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"65",65,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"66",66,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"67",67,"Case Closed Case Resolved ATTHAT LOCATION ROADWAY PATCH AND MADE SAFE BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"68",68,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH AND MADE  SAFE BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"69",69,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3514,-71.136,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"70",70,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3514,-71.136,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"71",71,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3514,-71.136,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"72",72,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3513,-71.1356,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"73",73,"Case Closed Case Resolved at that location roadway patch by dist#1 patch crew","Request for Pothole Repair",42.3514,-71.136,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"74",74,"Case Closed Case Resolved at that location roadway patch by DIST#1 PATCH CREW","Request for Pothole Repair",42.3524,-71.1351,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"75",75,"Case Closed Case Resolved at that location roadway patch by DIST#1 PATCH CREW","Request for Pothole Repair",42.3525,-71.1347,763,3384,14451,2322,768,624,"City Worker App","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"76",76,"Case Closed Case Resolved at tha location roadwy patch by DIST#1 PATCH CREW","Request for Pothole Repair",42.3524,-71.1351,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"77",77,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3536,-71.1375,763,3384,14451,2322,768,624,"City Worker App","Allston","none",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"78",78,"Case Closed Case Resolved at that location roadway patch by DIST#1 PATCH CREW","Request for Pothole Repair",42.349,-71.1536,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"79",79,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.347,-71.157,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"80",80,"Case Closed Case Resolved AT THAT LOCATION ROAD WAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3469,-71.1567,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"81",81,"Case Closed Case Resolved AT THAT LOCATION ROADWAY PATCH BY DIST#1 PATCH CREW","Request for Pothole Repair",42.3471,-71.1569,763,3384,14451,2322,768,624,"City Worker App","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"82",82,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3612,-71.134,763,3384,14451,2322,768,624,"Employee Generated","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"83",83,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3612,-71.134,763,3384,14451,2322,768,624,"Employee Generated","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"84",84,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3585,-71.1356,763,3384,14451,2322,768,624,"Employee Generated","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"85",85,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.361,-71.136,763,3384,14451,2322,768,624,"Employee Generated","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"86",86,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3612,-71.1287,763,3384,14451,2322,768,624,"Employee Generated","Allston","2134",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"87",87,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3487,-71.1604,763,3384,14451,2322,768,624,"Employee Generated","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
"88",88,"Case Closed Internal Case Performed by Highway Maintenance crew.","Pothole Repair Internal",42.3521,-71.1653,763,3384,14451,2322,768,624,"Employee Generated","Allston","2135",0,424,2761,2307,454,1516,1927,27,501,2661,680,10497,810,6828,7638,12808,1075,2799,4510,1120,22312,36409
