CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,Property_Type,Property_ID,Source,Geocoded_Location,Location 1
1.01001E+11,4/24/13 0:00,2/27/14 0:00,Closed,Case Closed Case Resolved This location was inspected on 12/20/2013 and not damage was noted.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831  Michael.Somers@CityofBoston.gov,sidewalk repair make safe,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Sidewalk Repair,PWDx,INTERSECTION of Medford St & Sackville St  Charlestown  MA,3,1A,1,A15,Charlestown,2,Ward 2,205,,INTERSECTION Medford St & Sackville St,,Intersection,7214,Employee Generated,"(42.3819, -71.0642)","(42.3819, -71.0642)"
1.01001E+11,2/20/14 0:00,2/25/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 05: South Boston,PWDx,,,,,,,,,,,,,,,Self Service,"(42.3594, -71.0587)","(42.3594, -71.0587)"
1.01001E+11,5/27/13 0:00,1/16/14 0:00,Closed,Case Closed Case Resolved INV 1/15 NO POTHOLE FOUND,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,176 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,507,A,176 Commonwealth Ave,2116,Address,215524,Citizens Connect App,"(42.3511, -71.0793)","(42.3511, -71.0793)"
1.01001E+11,6/4/13 0:00,2/10/14 0:00,Closed,Case Closed Case Resolved fixed 14x16 on 2/7/14,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,0 Terminal St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,202,E,0 Terminal St,2129,Address,134469,City Worker App,"(42.3815, -71.0506)","(42.3815, -71.0506)"
1.01001E+11,6/10/13 0:00,2/3/14 0:00,Closed,Case Closed Case Resolved Old req from 6/10/13?  Cb repaired 8/7/13,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,INTERSECTION of Weld Hill St & Hyde Park Ave  Jamaica Plain  MA,12,2,6,E13,Jamaica Plain,10,Ward 19,1907,,INTERSECTION Weld Hill St & Hyde Park Ave,,Intersection,6191,Self Service,"(42.2991, -71.1141)","(42.2991, -71.1141)"
1.01001E+11,6/10/13 0:00,1/23/14 0:00,Closed,Case Closed Case Noted need a better location.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 10A: Roxbury,PWDx,416 Commonwealth Ave  Boston  MA  02215,4,10A,8,D4,Back Bay,14,Ward 5,510,CM,416 Commonwealth Ave,2215,Address,158358,Constituent Call,"(42.3484, -71.091)","(42.3484, -71.091)"
1.01001E+11,6/17/13 0:00,1/22/14 0:00,Closed,Case Closed Case Resolved Jetted past sinkhole no issues.  6/17/13,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,INTERSECTION of Ceylon St & Quincy St  Dorchester  MA,7,3,4,B2,Roxbury,13,Ward 14,1401,,INTERSECTION Ceylon St & Quincy St,,Intersection,2741,Employee Generated,"(42.312, -71.072)","(42.312, -71.072)"
1.01001E+11,6/21/13 0:00,1/30/14 0:00,Closed,Case Closed Case Invalid Holden st was repaired summer 2013. repair made by utility company.  case resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 03: North Dorchester,PWDx,8-10 Holden St  Dorchester  MA  02125,7,3,7,B2,Dorchester,13,Ward 7,710,R4,8-10 Holden St,2125,Address,74580,Constituent Call,"(42.3187, -71.0642)","(42.3187, -71.0642)"
1.01001E+11,7/7/13 0:00,2/6/14 0:00,Closed,Case Closed Case Resolved * paved sidewalk 8/19/13  62 Falcon St EB,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,62 Falcon St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,108,R2,62 Falcon St,2128,Address,56065,Constituent Call,"(42.3821, -71.0371)","(42.3821, -71.0371)"
1.01001E+11,7/7/13 0:00,4/22/14 0:00,Closed,Case Closed Duplicate of Existing Case Duplicate of case 101000343793    If you have any further questions  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831  Michael.Somers@Boston.gov,Cobblestone Repair/South End,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Highway Construction,PWDx,INTERSECTION of Columbus Ave & Dartmouth St  Boston  MA,4,1C,2,D4,South End,6,Ward 4,401,,INTERSECTION Columbus Ave & Dartmouth St,,Intersection,3300,Citizens Connect App,"(42.3458, -71.0752)","(42.3458, -71.0752)"
1.01001E+11,7/10/13 0:00,1/24/14 0:00,Closed,Case Closed Case Resolved This has been on the Asphault Resurfacing Program for years and will be paved as soon as Boston Water and Sewer completes their major sewer separation project.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Roadway Repair,PWDx,INTERSECTION of E First St & Summer St  South Boston  MA,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,607,,INTERSECTION E First St & Summer St,,Intersection,4932,Self Service,"(42.3381, -71.0355)","(42.3381, -71.0355)"
1.01001E+11,7/17/13 0:00,1/23/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Roadway Repair,PWDx,28 Eastman St  Dorchester  MA  02125,7,3,7,B2,Dorchester,13,Ward 7,710,R1,28 Eastman St,2125,Address,50938,Constituent Call,"(42.32, -71.0645)","(42.32, -71.0645)"
1.01001E+11,8/5/13 0:00,2/3/14 0:00,Closed,Case Closed Case Resolved JOB IS DONE.  PATCH OKAY ON ARRIVAL.  OPPOSITE 1807 WASHINGTON ST 1/31/14,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,INTERSECTION of Washington St & Massachusetts Ave  Roxbury  MA,7,1C,7,D4,Roxbury,13,Ward 9,903,,INTERSECTION Washington St & Massachusetts Ave,,Intersection,6046,Constituent Call,"(42.3365, -71.0771)","(42.3365, -71.0771)"
1.01001E+11,8/8/13 0:00,2/6/14 0:00,Closed,Case Closed Case Resolved A St & W Second St patched around 14x16 1/16/14,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,INTERSECTION of A St & W Second St  South Boston  MA,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,601,,INTERSECTION A St & W Second St,,Intersection,10,Constituent Call,"(42.3429, -71.0543)","(42.3429, -71.0543)"
1.01001E+11,8/16/13 0:00,12/19/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,20 Lawrence St  Boston  MA  02116,4,1C,2,D4,South End,6,Ward 5,501,R1,20 Lawrence St,2116,Address,84609,Citizens Connect App,"(42.3462, -71.0723)","(42.3462, -71.0723)"
1.01001E+11,1/6/14 0:00,1/6/14 0:00,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,Pothole Repair (Internal),Public Works Department,Highway Maintenance,Pothole Repair (Internal),PWDx_District 09: East Boston,PWDx,0 Curtis St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,111,I,0 Curtis St,2128,Address,45100,Employee Generated,"(42.3829, -71.0208)","(42.3829, -71.0208)"
1.01001E+11,8/16/13 0:00,11/12/14 0:00,Closed,Case Closed Case Resolved The Boston Public Works Department Construction Inspection Unit (CIU) has identified the casting needing repair as the responsibility of National Grid     National Grid has been notified to repair the casting by November 22nd.     The CIU has added the location to its data base that tracks unacceptable utility work.     The CIU will monitor the progress of the work.      Sincerely       Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Contractor Complaints,PWDx,INTERSECTION of Mary Moore Beatty Cir & River St  Mattapan  MA,8,7,4,B3,Greater Mattapan,9,Ward 18,1801,,INTERSECTION Mary Moore Beatty Cir & River St,,Intersection,7122,City Worker App,"(42.2716, -71.0789)","(42.2716, -71.0789)"
1.01001E+11,8/16/13 0:00,1/16/14 0:00,Closed,Case Closed Case Resolved repaired 8/28/13,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,30 Harmon St  Mattapan  MA  02126,8,8,5,E18,Greater Mattapan,9,Ward 18,1821,R2,30 Harmon St,2126,Address,69555,Constituent Call,"(42.2693, -71.1022)","(42.2693, -71.1022)"
1.01001E+11,8/26/13 0:00,1/15/14 0:00,Closed,Case Closed Case Resolved Contractor regraded on 8/28/2013,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,65 Rockwood St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,E,65 Rockwood St,2130,Address,117993,Citizens Connect App,"(42.3141, -71.1278)","(42.3141, -71.1278)"
1.01001E+11,8/29/13 0:00,1/17/14 0:00,Closed,Case Closed Case Resolved PATCHED ALL SET ON ARRIVAL 1/16,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,INTERSECTION of Allston St & Commonwealth Ave  Allston  MA,11,4,9,D14,Allston / Brighton,15,Ward 21,2108,,INTERSECTION Allston St & Commonwealth Ave,,Intersection,316,Citizens Connect App,"(42.3483, -71.1378)","(42.3483, -71.1378)"
1.01001E+11,8/29/13 0:00,1/15/14 0:00,Closed,Case Closed Case Resolved 8/29/2013 contractor put new cover,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,300 Huntington Ave  Hyde Park  MA  02136,12,8,5,E18,Hyde Park,10,Ward 18,1808,R1,300 Huntington Ave,2136,Address,76535,Self Service,"(42.2677, -71.1171)","(42.2677, -71.1171)"
1.01001E+11,8/29/13 0:00,1/23/14 0:00,Closed,Case Closed Case Resolved  The City has added this street to the Asphault Resurfacing Program. It will be repaved pending clearance from the utility companies.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Roadway Repair,PWDx,INTERSECTION of Clarendon St & Saint James Ave  Boston  MA,4,1C,2,D4,Back Bay,6,Ward 4,402,,INTERSECTION Clarendon St & Saint James Ave,,Intersection,3071,Citizens Connect App,"(42.3498, -71.0748)","(42.3498, -71.0748)"
1.01001E+11,8/29/13 0:00,1/24/14 0:00,Closed,Case Closed Case Invalid,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,INTERSECTION of Dartmouth St & Newbury St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,507,,INTERSECTION Dartmouth St & Newbury St,,Intersection,3913,Citizens Connect App,"(42.3509, -71.0777)","(42.3509, -71.0777)"
1.01001E+11,9/19/13 0:00,10/30/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Sidewalk Repair,PWDx,3-7 Arbutus St  Dorchester  MA  02124,8,7,4,B3,Greater Mattapan,9,Ward 14,1412,CM,3-7 Arbutus St,2124,Address,4494,Constituent Call,"(42.2876, -71.0898)","(42.2876, -71.0898)"
1.01001E+11,9/24/13 0:00,11/3/14 0:00,Closed,Case Closed Case Resolved Sidewalk repaired 10/2014    If you have any further questions  or feel that this case was closed or reallocated in error  please do not hesitate to contact me.    Michael Somers  Senior Civil Engineer  Construction Management Division  Boston Public Works  617-635-3831  Michael.Somers@Boston.gov,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Sidewalk Repair,PWDx,188 Leyden St  East Boston  MA  02128,1,9,1,A7,East Boston,1,Ward 1,113,R1,188 Leyden St,2128,Address,85779,Citizens Connect App,"(42.3888, -71.0043)","(42.3888, -71.0043)"
1.01001E+11,9/26/13 0:00,10/3/14 0:00,Closed,Case Closed Case Noted Your request for pavement marking replacement has been inspected by the traffic investigator and has been determined that it is not necessary to replace the markings at this time.,Repaint Lane Markings DY and SW,Public Works Department,Highway Maintenance,Request for Pothole Repair,BTDT_Pavement Marking_Maintenance,BTDT,INTERSECTION of Bennington St & Saratoga St  East Boston  MA,1,9,1,A7,East Boston,1,Ward 1,112,,INTERSECTION Bennington St & Saratoga St,,Intersection,1333,Self Service,"(42.3866, -71.0067)","(42.3866, -71.0067)"
1.01001E+11,9/26/13 0:00,2/6/14 0:00,Closed,Case Closed Case Resolved REPLACED BUFFALO COVER @ INTERSECTION ON GLADESIDE AVE & ARBORCREST TER. 1/15/14,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,2 Arborcrest Ter  Mattapan  MA  02126,8,7,4,B3,Greater Mattapan,9,Ward 18,1804,R2,2 Arborcrest Ter,2126,Address,4227,Self Service,"(42.2729, -71.0868)","(42.2729, -71.0868)"
1.01001E+11,10/2/13 0:00,5/19/14 0:00,Closed,Case Closed Case Resolved JOB COMPLETE ON ARRIVAL  PERM PAVED  5/16/14,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,788 Blue Hill Ave  Dorchester  MA  02124,7,3,4,B3,Greater Mattapan,8,Ward 14,1407,A,788 Blue Hill Ave,2124,Address,190180,City Worker App,"(42.2978, -71.0867)","(42.2978, -71.0867)"
1.01001E+11,1/23/14 0:00,1/23/14 0:00,Closed,Case Closed Case Resolved Multiple potholes filled in with hot top asphalt. Job complete.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 10A: Roxbury,PWDx,,,,,,,,,,,,,,,Employee Generated,"(42.3594, -71.0587)","(42.3594, -71.0587)"
1.01001E+11,10/15/13 0:00,1/31/14 0:00,Closed,Case Closed Case Resolved As of January 30  the casting has been replaced and reset to grade.        Mark Cardarelli  Supervisor of Utility Coordination and Compliance  Boston Public Works Department  617-635-4951 Office  617-438-8517 Cell,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Utility Casting Repair,PWDx,1 Stuart St  Boston  MA  02116,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,C,1 Stuart St,2116,Address,157338,Citizens Connect App,"(42.3511, -71.0631)","(42.3511, -71.0631)"
1.01001E+11,10/22/13 0:00,1/16/14 0:00,Closed,Case Closed Case Noted THIS WAS GIVEN TO CONTRACTOR 1/7 CONSTRUCTION?,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,72-80 Broad St  Boston  MA  02110,3,1C,1,A1,Downtown / Financial District,3,Ward 3,306,CM,72-80 Broad St,2110,Address,20484,Citizens Connect App,"(42.3577, -71.053)","(42.3577, -71.053)"
1.01001E+11,11/25/13 0:00,1/21/14 0:00,Closed,Case Closed Case Resolved FOUND THE CB IN THE ATTCHED PICTURE. IT'S A STATE OWNED CB ON A ROAD NEXT TO HOUGHTON CHEMICAL COMPANY. THE CB IS FULL TO THE TOP WITH DIRT & GRAVEL IT'S BEEN PATCHED AROUND  NO VISBILE HOLES  CB LOCATION ABOUT 250' FROM ENTRANCE TO DOUBLE TREE HOTEL ON CAMBRIDGE ST. 1/17,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,INTERSECTION of Cambridge St & Soldiers Field Rd  Allston  MA,11,4,9,D14,Allston / Brighton,15,Ward 22,2201,,INTERSECTION Cambridge St & Soldiers Field Rd,,Intersection,2359,Citizens Connect App,"(42.3609, -71.1177)","(42.3609, -71.1177)"
1.01001E+11,11/26/13 0:00,1/16/14 0:00,Closed,Case Closed Case Resolved replaced cover 11/26/13,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,110 Broad St  Boston  MA  02110,3,1C,1,A1,Downtown / Financial District,3,Ward 3,306,RC,110 Broad St,2110,Address,196340,Self Service,"(42.3574, -71.052)","(42.3574, -71.052)"
1.01001E+11,12/2/13 0:00,2/7/14 0:00,Closed,Case Closed Case Resolved INVESTIGATED. NOTHING COLLAPSED THAT BWSC'S OWNS  ALL MANHOLES HERE ARE TO GRADE. 12/3/13,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,INTERSECTION of Boylston St & Charlesgate East  Boston  MA,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 5,510,,INTERSECTION Boylston St & Charlesgate East,,Intersection,1768,Self Service,"(42.3466, -71.0904)","(42.3466, -71.0904)"
1.01001E+11,12/23/13 0:00,1/21/14 0:00,Closed,Case Closed Case Resolved CREW RE PATCHED AROUND MH  ALL SET,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,66 Charles St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,505,C,66 Charles St,2114,Address,204861,Constituent Call,"(42.3576, -71.0704)","(42.3576, -71.0704)"
1.01001E+11,12/23/13 0:00,1/15/14 0:00,Closed,Case Closed Case Resolved Sink hole cut out and backfilled  asphalt base applied. Finish pave to be completed by District 1 on Thursday Jan  1/16/13.    Several potholes filled on Branch St.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_Highway Construction,PWDx,68 Chestnut St  Boston  MA  02108,3,1B,8,A1,Beacon Hill,14,Ward 5,503,R4,68 Chestnut St,2108,Address,207140,Citizens Connect App,"(42.357, -71.0693)","(42.357, -71.0693)"
1.01001E+11,12/26/13 0:00,1/6/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1B: North End,PWDx,75 N Margin St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,304,R4,75 N Margin St,2113,Address,89717,Constituent Call,"(42.3658, -71.0569)","(42.3658, -71.0569)"
1.01001E+11,12/26/13 0:00,1/16/14 0:00,Closed,Case Closed Case Referred to External Agency Verizon jurisdiction.  Details forwarded.,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,INFO_Reallocation From Dept,INFO,13-15 Estabrook Rd  Mission Hill  MA  02120,9,10B,7,B2,Roxbury,13,9,905,,13-15 Estabrook Rd,2120,Address,343881,Citizens Connect App,"(42.3594, -71.0587)","(42.3594, -71.0587)"
1.01001E+11,12/26/13 0:00,9/24/14 0:00,Closed,Case Closed Case Resolved RAISED 14X16 AND PATCHED 9/23,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_Pothole,BWSC,INTERSECTION of Boylston St & Washington St  Boston  MA,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,,INTERSECTION Boylston St & Washington St,,Intersection,1789,Constituent Call,"(42.3524, -71.0626)","(42.3524, -71.0626)"
1.01001E+11,12/27/13 0:00,1/7/14 0:00,Closed,Case Closed Duplicate of Existing Case,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 05: South Boston,PWDx,INTERSECTION of Fargo St & Summer St  Boston  MA,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,604,,INTERSECTION Fargo St & Summer St,,Intersection,4802,Citizens Connect App,"(42.3445, -71.0396)","(42.3445, -71.0396)"
1.01001E+11,12/27/13 0:00,1/7/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,15-17 Northern Ave  Boston  MA  02110,3,1C,1,A1,Downtown / Financial District,3,3,306,,15-17 Northern Ave,2110,Address,155744,Citizens Connect App,"(42.3547, -71.0507)","(42.3547, -71.0507)"
1.01001E+11,12/27/13 0:00,1/8/14 0:00,Closed,Case Closed Case Resolved pothole filled,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 05: South Boston,PWDx,628 E Fifth St  South Boston  MA  02127,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,606,C,628 E Fifth St,2127,Address,57940,Citizens Connect App,"(42.3341, -71.0355)","(42.3341, -71.0355)"
1.01001E+11,12/30/13 0:00,1/7/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 05: South Boston,PWDx,INTERSECTION of Fargo St & Summer St  Boston  MA,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,604,,INTERSECTION Fargo St & Summer St,,Intersection,4802,Self Service,"(42.3445, -71.0396)","(42.3445, -71.0396)"
1.01001E+11,12/30/13 0:00,1/10/14 0:00,Closed,Case Closed Case Resolved CONTRACTOR REPAIRED CATCH BASIN 1/9,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,BWSC_All Cases,BWSC,6 Beckler Ave  South Boston  MA  02127,6,5,2,C6,South Boston / South Boston Waterfront,5,Ward 6,606,R2,6 Beckler Ave,2127,Address,185793,Self Service,"(42.3336, -71.0368)","(42.3336, -71.0368)"
1.01001E+11,12/30/13 0:00,1/7/14 0:00,Closed,Case Closed Case Resolved,Request for Pothole Repair,Public Works Department,Highway Maintenance,Request for Pothole Repair,PWDx_District 1C: Downtown,PWDx,INTERSECTION of Boylston St & Dalton St  Boston  MA,4,1C,8,D4,Back Bay,14,Ward 5,509,,INTERSECTION Boylston St & Dalton St,,Intersection,1773,Citizens Connect App,"(42.3479, -71.0856)","(42.3479, -71.0856)"
