Agency,Street Address,City,State,Zip,Counties Served,Program Type,Funding Source,Program Description,Contract Dates,Contract Number,Funding Level
Y.W.C.A. of the Mohawk Valley,205 North Wshington Street,Herkimer,NY,13350,HERKIMER,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026601,162524
Putnum County Department of Social Services,121 Main Street,Brewster,NY,10509,PUTNAM,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026593,171568
"Partnership for Ontario County, Inc.",8 Banta Street Suite 413,Phelps,NY,14532,ONTARIO,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026409,137531
Friends of the Chautauqua County Child Advocacy Program,405 West Third Street,Jamestown,NY,14701,CHAUTAUQUA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026408,191407
"Victims Assistance Center of Jefferson County, Inc. ",120 Washington Street,Watertown,NY,13601,JEFFERSON,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027697,153481
"Cayuga Counseling Services, Inc. ",17 East Genesee Street,Auburn,NY,13021,CAYUGA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026411,150397
Schoharie County Department of Social Services,113 Park Place,Schoharie,NY,12157,SCHOHARIE,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027702,131398
Clinton County ,46 Arizona Avenue,Plattsburgh,NY,12901,CLINTON,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026726,129070
Coalition Against Child Abuse and Neglect,15 Grumman Road West,Bethpage,NY,11714,NASSAU,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/13-9/30/14,C026604,198857
Cortland County,60 Central Avenue,Cortland,NY,13045,CORTLAND,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026729,127320
Columbia Memorial Hospital,2A Milo Street,Hudson,NY,12534,COLUMBIA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/13-9/30/14,C026253,137698.56
Columbia Memorial Hospital,2A Milo Street,Hudson,NY,12534,GREENE,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/13-9/30/14,C026253,137698.56
"Saratoga Center for the Family, Inc. ",359 Ballston Avenue,Saratoga Springs,NY,12866,SARATOGA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026602,157710
"Safe Horizon, Inc. (Brooklyn)",320 Schermerhorn Street,Brooklyn,NY,11217,KINGS,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027700,420697
Madison County Sheriff's Department,6802 Buyea Road,Canstota,NY,13032,MADISON,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026600,141051
"Safe Horizon, Inc. (Manhattan)",1753 Park Avenue 2nd floor,New York,NY,10035,NEW YORK,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026412,218394
"McMahon/Ryan Child Advoacy Site, Inc. ",601 East Genesee Street,Syracuse,NY,13202,ONONDAGA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027695,220080
Oneida County ,930 York Street,Utica,NY,13502,ONEIDA,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026592,313981
Otsego County District Attorneys Office,140 County Highway 33W Suite 2,Cooperstown,NY,13326,OTSEGO,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027699,138339
"Safe Horizon, Inc. (Queens)",112-25 Queens Boulevard,Forest Hills,NY,11375,QUEENS,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C027701,313326
Schenectady County ,106 Erie Blvd,Schenectady,NY,12305,SCHENECTADY,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/14-9/30/15,C026596,185553
Southern Tier Children's Advocacy Center,772 Main Street,Olean,NY,14760,ALLEGANY,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026405,173902
Southern Tier Children's Advocacy Center,772 Main Street,Olean,NY,14760,CATTARAUGUS,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026405,173902
Rockland County District Attorneys Office,1 South Main Street,New City,NY,10956,ROCKLAND,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026413,164970
"START Children's Center, Inc. ",131 6th Avenue,Troy,NY,12180,RENSSELAER,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026597,214163
"Safe Horizon, Inc. (Staten Island)",130 Stuyvesant Place,Staten Island,NY,10301,RICHMOND,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026594,173200
"EAC, Inc. ",80 Wheeler Road,Central Islip,NY,11722,SUFFOLK,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026407,182509
Child Abuse Prevention Center Inc. ,249 Hooker Avenue,Poughkeepsie,NY,12603,DUTCHESS,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026670,269241
Ulster County Department of Social Services,21 O'Neil Street,Kingston,NY,12401,ULSTER,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",2/1/15-1/31/16,C026728,219631
Warren Washington CARE Center,24 Dix Avenue,Glens Falls,NY,12801,WARREN,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026598,168369
Warren Washington CARE Center,24 Dix Avenue,Glens Falls,NY,12801,WASHINGTON,Multidisciplinary/Children's Advocacy Center,State Aid to Localities,"Children's Advocacy Center (CAC) serves child victims of sexual abuse or physical abuse through a comprehensive approach of providing services to the victim and their non-offending family members. The CAC provides a safe, neutral child-friendly environment where child victims meet with members of a multidisciplinary team for the purpose of the investigative interview and services. All 40 Child Advocacy Centers across New York State are Tier I programs. Tier I status indicates that a program is meeting or exceeding all ten standards set forth by OCFS to be considered an approved Child Advocacy Center.",10/1/15-9/30/16,C026598,168369
"A New Hope Center, Inc.",20 Church Street,Owego,NY,13827,TIOGA,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027469,105250
"ACCORD Corporation, Inc.","84 Schuyler Street, PO Box 573",Belmont,NY,14813,ALLEGANY,Child Protective /Domestic Violence Collaboration,Federal Family Violence Prevention and Services Act,"Collaboration project in which a domestic violence advocate is out-stationed at the local social service district child protective services office to provide consultation and participate in joint case work, safety planning and home visits with child protective services families experiencing domestic violence.",10/1/13-12/31/14,C025842,82033
"ACCORD Corporation, Inc.","84 Schuyler Street, PO Box 573",Belmont,NY,14813,ALLEGANY,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027478,105250
Advocacy Center of Tompkins County,P. O. Box 164,Ithaca,NY,14851,TOMPKINS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027470,80992
"Allen Women's Resource Center, Ltd.",P. O. Box 340316,Jamaica,NY,11434,QUEENS,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026830,32045
"Alternatives for Battered Women, Inc.","50 Chestnut St., 11th Fl.",Rochester,NY,14604,MONROE,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",3/31/14-3/30/15,C026824,32045
Barrier Free Living Inc. ,270 East Second Street,New York,NY,10009,NEW YORK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027504,75250
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218",Plattsburgh,NY,12903,CLINTON,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027485,30000
"Behavioral Health Services North, Inc.","22 US Oval, Suite 218",Plattsburgh,NY,12903,ESSEX,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027485,30000
"Brighter Tomorrows, Inc.",P. O. Box 706,Shirley,NY,11967,SUFFOLK,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027530,75250
Catholic Charities of Chemung/Schuyler,607 North Franklin St.,Watkins Glen,NY,14891,SCHUYLER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027520,20000
Catholic Charities of Herkimer County,61 West Street,Ilion,NY,13357,HERKIMER,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027471,105250
Catholic Charities of Montgomery County,1 Kimball Street,Amsterdam,NY,12010,MONTGOMERY,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027486,30000
"Catholic Charities of Saratoga, Warren and Washington Counties",142 Regent Street,Saratoga Springs,NY,12866,WARREN,Domestic Violence,Federal Family Violence Prevention and Services Act,"Approved and/or licensed residential and non-residential programs for victims of domestic violence which provide counseling, advocacy, information and referral, outreach and education, and hotline services for victims of domestic violence and their children.",4/1/15-3/31/16,C027479,105250
